,sensor_id,sensor_description,sensor_name,installation_date,status,direction_1,direction_2,latitude,longitude,location,note,db_read_time
0,55,Elizabeth St-La Trobe St (East),Eli380_T,2018-07-19T00:00:00.000,A,North,South,-37.80988941,144.96134331,"{'latitude': '-37.80988941', 'longitude': '144.96134331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
1,45,Little Collins St-Swanston St (East),Swa148_T,2017-06-29T00:00:00.000,A,North,South,-37.81414074,144.9660938,"{'latitude': '-37.81414074', 'longitude': '144.9660938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
2,61,RMIT Building 14,RMIT14_T,2019-06-28T00:00:00.000,A,North,South,-37.80767455,144.96309115,"{'latitude': '-37.80767455', 'longitude': '144.96309115', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
3,7,Birrarung Marr,Fed_T,2014-12-17T00:00:00.000,A,East,West,-37.81862929,144.97169395,"{'latitude': '-37.81862929', 'longitude': '144.97169395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
4,72,Flinders St- ACMI,ACMI_T,2020-11-30T00:00:00.000,A,East,West,-37.81726337,144.96872809,"{'latitude': '-37.81726337', 'longitude': '144.96872809', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
5,62,La Trobe St (North),Lat224_T,2019-09-25T00:00:00.000,A,East,West,-37.80996494,144.96216521,"{'latitude': '-37.80996494', 'longitude': '144.96216521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
6,63,231 Bourke St,Bou231_T,2020-01-07T00:00:00.000,A,East,West,-37.81333081,144.96675572,"{'latitude': '-37.81333081', 'longitude': '144.96675572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
7,14,Sandridge Bridge,SanBri_T,2019-09-25T00:00:00.000,A,North,South,-37.82011242,144.96291898,"{'latitude': '-37.82011242', 'longitude': '144.96291898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
8,41,Flinders La-Swanston St (West),Swa31,2017-06-29T00:00:00.000,A,North,South,-37.81668633,144.96689733,"{'latitude': '-37.81668633', 'longitude': '144.96689733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
9,25,Melbourne Convention Exhibition Centre,MCEC_T,2019-10-02T00:00:00.000,A,East,West,-37.82401776,144.95604426,"{'latitude': '-37.82401776', 'longitude': '144.95604426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sensor relocated from 14 to 25 on 2/10/2019,2021-08-02 22:22:05.233
10,60,Flinders La - Swanston St (West) Temporary,Swa31T_T,2019-03-08T00:00:00.000,R,North,South,-37.81668188,144.9668954,"{'latitude': '-37.81668188', 'longitude': '144.9668954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Temporary for the duration of the metro tunnel works. Installed under the scaffolding.,2021-08-02 22:22:05.233
11,64,Royal Pde - Grattan St,Grat292_T,2020-01-16T00:00:00.000,A,North,South,-37.79949544,144.95792282,"{'latitude': '-37.79949544', 'longitude': '144.95792282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
12,39,Alfred Place,AlfPl_T,2019-12-04T00:00:00.000,A,South,North,-37.81379749,144.96995745,"{'latitude': '-37.81379749', 'longitude': '144.96995745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",In 4/12/2019 sensor upgraded,2021-08-02 22:22:05.233
13,17,Collins Place (South),Col15_T,2009-03-30T00:00:00.000,A,East,West,-37.81362542,144.97323592,"{'latitude': '-37.81362542', 'longitude': '144.97323592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Device is upgraded in 26/02/2020,2021-08-02 22:22:05.233
14,65,Swanston St - City Square,SwaCs_T,2020-03-12T00:00:00.000,A,North,South,-37.81569416,144.96680641,"{'latitude': '-37.81569416', 'longitude': '144.96680641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
15,66,State Library - New,QVN_T,2020-04-06T00:00:00.000,A,South,North,-37.81057845,144.96444294,"{'latitude': '-37.81057845', 'longitude': '144.96444294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
16,15,State Library,QV_T,2009-03-25T00:00:00.000,R,South,North,-37.81064378,144.96447132,"{'latitude': '-37.81064378', 'longitude': '144.96447132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
17,67,Flinders Ln -Degraves St (South),FLDegS_T,2020-06-03T00:00:00.000,A,East,West,-37.81688755,144.9656257,"{'latitude': '-37.81688755', 'longitude': '144.9656257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
18,47,Melbourne Central-Elizabeth St (East),Eli250_T,2017-08-24T00:00:00.000,A,South,North,-37.81160331,144.96220077,"{'latitude': '-37.81160331', 'longitude': '144.96220077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
19,68,Flinders Ln -Degraves St (North),FLDegN_T,2020-06-03T00:00:00.000,A,East,West,-37.81684789,144.96559789,"{'latitude': '-37.81684789', 'longitude': '144.96559789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
20,69,Flinders Ln -Degraves St (Crossing),FLDegC_T,2020-06-03T00:00:00.000,A,North,South,-37.81687225,144.96559145,"{'latitude': '-37.81687225', 'longitude': '144.96559145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
21,3,Melbourne Central,Swa295_T,2009-03-25T00:00:00.000,A,North,South,-37.81101523,144.96429485,"{'latitude': '-37.81101523', 'longitude': '144.96429485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
22,29,St Kilda Rd-Alexandra Gardens,AG_T,2013-10-11T00:00:00.000,A,North,South,-37.81965808,144.96863453,"{'latitude': '-37.81965808', 'longitude': '144.96863453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",sensor upgraded from laser to 3D on 19/12/2019,2021-08-02 22:22:05.233
23,70,Errol Street (East),Errol20_T,2020-10-12T00:00:00.000,A,North,South,-37.80456984,144.94946229,"{'latitude': '-37.80456984', 'longitude': '144.94946229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
24,71,Westwood Place,WestWP_T,2020-10-16T00:00:00.000,A,North,South,-37.81235775,144.97136962,"{'latitude': '-37.81235775', 'longitude': '144.97136962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
25,33,Flinders St-Spring St (West),Spr13_T,2014-04-23T00:00:00.000,R,North,South,-37.81483252,144.97454056,"{'latitude': '-37.81483252', 'longitude': '144.97454056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
26,13,Flagstaff Station,Wil277_T,2009-03-24T00:00:00.000,R,,,-37.81239679,144.95652653,"{'latitude': '-37.81239679', 'longitude': '144.95652653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
27,12,New Quay,NewQ_T,2009-01-21T00:00:00.000,A,West,East,-37.81457987,144.94292398,"{'latitude': '-37.81457987', 'longitude': '144.94292398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
28,53,Collins Street (North),Col254_T,2015-09-23T00:00:00.000,A,West,East,-37.8156419,144.965499,"{'latitude': '-37.8156419', 'longitude': '144.965499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
29,9,Southern Cross Station,Col700_T,2009-03-23T00:00:00.000,A,East,West,-37.81982992,144.95102556,"{'latitude': '-37.81982992', 'longitude': '144.95102556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2021-08-02 22:22:05.233
