,r.name,r.id,r.parent_fxf,r.description,r.updatedAt,r.createdAt,r.metadata_updated_at,r.data_updated_at,r.page_views,r.columns_field_name,r.columns_datatype,r.columns_description,r.publication_date,c.domain_tags,c.domain_metadata,permalink
0,Pedestrian Counting System - Monthly (counts per hour),b2ak-trbp,[],"This dataset contains hourly pedestrian counts since 2009 from pedestrian sensor devices located across the city. The data is updated on a monthly basis and can be used to determine variations in pedestrian activity throughout the day.
<p>The sensor_id column can be used to merge the data with the <a href=""https://data.melbourne.vic.gov.au/Transport-Movement/Pedestrian-Counting-System-Sensor-Locations/h57g-5234"">Pedestrian Counting System - Sensor Locations</a> dataset which details the location, status and directional readings of sensors. Any changes to sensor locations are important to consider when analysing and interpreting pedestrian counts over time.
<p><b>Importants notes about this dataset:</b>
<br>•	Where no pedestrians have passed underneath a sensor during an hour, a count of zero will be shown for the sensor for that hour. 
<br>•	Directional readings are not included, though we hope to make this available later in the year.  Directional readings are provided in the <a href="" https://data.melbourne.vic.gov.au/d/d6mv-s43h"">Pedestrian Counting System – Past Hour (counts per minute)</a> dataset. 
<p>The <a href=""https://www.melbourne.vic.gov.au/about-melbourne/research-and-statistics/city-population/Pages/pedestrian-counting-system.aspx"">Pedestrian Counting System</a> helps to understand how people use different city locations at different times of day to better inform decision-making and plan for the future. A representation of pedestrian volume which compares each location on any given day and time can be found in our <a href=""http://www.pedestrian.melbourne.vic.gov.au/?_ga=2.44607906.760678413.1541972518-340051665.1506055261"">Online Visualisation</a>.<p><b>Related datasets: </b><br><b><a href="" https://data.melbourne.vic.gov.au/d/d6mv-s43h"">Pedestrian Counting System – Past Hour (counts per minute)</a></b><br><b><a href=""https://data.melbourne.vic.gov.au/d/h57g-5234"">Pedestrian Counting System - Sensor Locations</a></b>",2021-07-12T01:54:34.000Z,2014-05-03T17:40:57.000Z,2021-07-12 01:54:26+00:00,2021-07-12 01:54:34+00:00,"{'page_views_last_week': 155, 'page_views_last_month': 482, 'page_views_total': 70288, 'page_views_last_week_log': 7.285402218862249, 'page_views_last_month_log': 8.915879378835772, 'page_views_total_log': 16.101011309428216}","['year', 'hourly_counts', 'date_time', 'time', 'mdate', 'id', 'month', 'sensor_id', 'day', 'sensor_name']","['Number', 'Number', 'Calendar date', 'Number', 'Number', 'Number', 'Text', 'Number', 'Text', 'Text']","['Year of reading', 'Total hourly sensor readings (count of pedestrians )', 'Date and time of reading (dd/mm/yyyy hh:mm:ss)', 'Time of day (0 = midnight-1am, 1 = 1am-2am, 2 = 2am-3am, ..., 23 = 11pm-midnight)', 'Day of year (1, 2, 3, ..., 31)', 'Unique reading ID', 'Month of year (January, February, ...)', 'Sensor ID', 'Day of week (Monday, Tuesday, ..., Sunday)', 'Sensor name']",2020-01-31 04:56:55+00:00,"['accessibility', 'cityreactivation', 'covid-19', 'foot traffic', 'pedestrian count', 'pedestrian sensors', 'safemobility', 'sensors', 'traffic flow']","[{'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Monthly'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'How-to-use_Linked-to', 'value': 'http://www.pedestrian.melbourne.vic.gov.au/'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Hourly'}]",https://data.melbourne.vic.gov.au/d/b2ak-trbp
1,Tree canopies 2011 (Urban Forest),y79a-us3f,[],Tree canopy within City of Melbourne mapped using 2008 aerial photos and LiDAR. The canopy polygons represent actual tree canopy extents on both private and public property across the city. The data is considered accurate for 2011. Changes in tree canopy are expected to have occurred since that time.,2020-04-05T21:46:11.000Z,2014-07-25T05:11:43.000Z,2020-04-05 21:46:11+00:00,,"{'page_views_last_week': 15, 'page_views_last_month': 33, 'page_views_total': 66627, 'page_views_last_week_log': 4.0, 'page_views_last_month_log': 5.08746284125034, 'page_views_total_log': 16.023840967836765}",[],[],[],2014-07-25 05:20:35+00:00,"['citizenreporter', 'eventsplanner', 'forest', 'tree', '#urbanforest', 'urban forest']","[{'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Monthly'}]",https://data.melbourne.vic.gov.au/d/y79a-us3f
2,"Trees, with species and dimensions (Urban Forest)",fp38-wiyy,[],"The City of Melbourne maintains more than 70,000 trees. This dataset details the location, species and lifespan of Melbourne's urban forest by precinct. To explore Melbourne's tree data and learn more about the life expectancy and diversity of trees in your city, check out our interactive tree map http://melbourneurbanforestvisual.com.au/, You can download the City of Melbourne's Urban forest Strategy and the summary of your  precinct's consultation from the attachments section by selecting the 'About' button",2021-07-31T16:06:52.000Z,2014-05-26T04:40:31.000Z,2021-07-31 16:05:32+00:00,2021-07-31 16:06:52+00:00,"{'page_views_last_week': 102, 'page_views_last_month': 317, 'page_views_total': 38060, 'page_views_last_week_log': 6.6865005271832185, 'page_views_last_month_log': 8.312882955284357, 'page_views_total_log': 15.216025846471114}","['genus', 'uploaddate', 'date_planted', 'year_planted', 'easting', 'scientific_name', 'common_name', 'diametre_at_breast_height', 'family', 'com_id', 'northing', 'useful_life_expectency_value', 'longitude', 'latitude', 'location_address', 'useful_life_expectency', 'precinct', 'location_state', 'location_city', 'location_zip', 'age_description', 'location', 'located_in']","['Text', 'Calendar date', 'Calendar date', 'Number', 'Number', 'Text', 'Text', 'Number', 'Text', 'Number', 'Number', 'Number', 'Number', 'Number', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Point', 'Text']","['', '', 'This is generally accurate for trees planted from 2003 onwards, prior to 2003 this indicate the date the trees are added to the inventory.', 'This is generally accurate for trees planted from 2003 onwards, prior to 2003 this indicate the date the trees are added to the inventory.', 'Easting Coordinate, please use MGA94-55', '', '', 'Diameter at breast height, or DBH, is a standard method of expressing the diameter of the trunk or bole of a standing tree. City of Melbourne Measures this 1.4m from ground level.\n0.00 = Not yet assessed', '', ""City of Melbourne's unique asset ID"", 'Northing Coordinate, please use MGA94-55', 'Useful Life Expectency Value, derive from the Useful Life Expectency column, displayed as an integer', '', '', '', 'The trees useful life expectancy. Last updated in 2009\nNull value = Not yet assessed', 'The neighbourhood boundary defined for tree planning purposes', '', '', '', 'Based on Date planted / date of data entry therefore sometimes inaccurate\nNull value = Not yet assessed', '', 'This descibes whether a tree is located within a public park or along a street']",2015-11-18 05:01:38+00:00,"['accessibility', 'changemaker', 'citizenreporter', 'forest', 'park', 'researcher', 'street', 'tree', 'trees', 'urbanforest', '#urbanforest', 'urban forest']","[{'key': 'Quality_Known-Issues', 'value': 'Date and year planted fields may have missing date values. '}, {'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Monthly'}]",https://data.melbourne.vic.gov.au/d/fp38-wiyy
3,On-street Parking Bay Sensors,vh2v-4nfs,[],"Contains information from in-ground car parking bay sensors across the city with status indicating if a car is present or not present, the spatial coordinate of the sensor, and the street marker id. 

<b>Accessing the most current data:</b>
To access the most recent data please use the <a href='https://data.melbourne.vic.gov.au/resource/vh2v-4nfs.json?$limit=5000'>v2.0 SODA API endpoint</a> 
or the <a href='https://data.melbourne.vic.gov.au/api/views/vh2v-4nfs/rows.csv?accessType=DOWNLOAD'>CSV download link</a>. Accessing the data from Socrata's v2.1 SODA API will access cached data which is only updated hourly. 

<b>Additional information:</b>
Further information about City of Melbourne's parking sensors can be found <a href=""https://www.melbourne.vic.gov.au/parking-and-transport/parking/Pages/parking-faqs.aspx#sensors"">here</a>.

<b>How the data joins:</b>
There are three datasets that make up the live parking sensor release. They are the on-street parking bay sensors, <a href=""https://data.melbourne.vic.gov.au/Transport-Movement/On-street-Parking-Bays/crvt-b4kt"">on-street parking bays</a> and the <a href=""https://data.melbourne.vic.gov.au/Transport-Movement/On-street-Car-Park-Bay-Restrictions/ntht-5rk7/data"">on-street car park bay restrictions</a>. 
The way the datasets join is as follows. The on-street parking bay sensors join to the on-street parking bays by the marker_id attribute. The on-street parking bay sensors join to the on-street car park bay information by the bay_id attribute. The on-street parking bays and the on-street car park bay information don’t currently join.

<b>Outages</b>
This dataset is updated through network relays and can be disrupted causing delays in data updates. Users of this data are encouraged to monitor the dataset's last updated timestamp in the <a href='https://data.melbourne.vic.gov.au/api/catalog/v1?ids=vh2v-4nfs' target='_blank'>catalogue API JSON endpoint</a> to check for delays in the data being updated. 

<b>Disclaimer</b>
While all due care has been taken to ensure the data of this website is accurate, current and available please note: 
·         there may be errors or omission in it
·         there may be occasions where the data is not available and/or the website will be unavailable. 

The City of Melbourne and its employees accept no responsibility for any loss, damage, claim, expense, cost or liability whatsoever (including in contract, tort including negligence, pursuant to statue and otherwise) arising in respect of or in connection with accessing, using or reliance upon the data in this website, or the unavailability of the data or the website.",2021-08-01T02:07:43.000Z,2017-08-10T04:57:59.000Z,2021-08-01 02:07:30+00:00,2021-08-01 02:07:43+00:00,"{'page_views_last_week': 221, 'page_views_last_month': 814, 'page_views_total': 36152, 'page_views_last_week_log': 7.794415866350106, 'page_views_last_month_log': 9.67065624911844, 'page_views_total_log': 15.14182774748778}","['bay_id', 'st_marker_id', 'status', 'location', 'location_address', 'location_city', 'location_state', 'location_zip', 'lat', 'lon', ':@computed_region_evbi_jbp8']","['Number', 'Text', 'Text', 'Point', 'Text', 'Text', 'Text', 'Text', 'Number', 'Number', 'Number']","['The unique ID of the parking bay where the parking sensor is located', 'The street marker that is located next to the parking bay with a unique id for the bay. Often a small round, metal plaque found on the pavement next to the bay', 'The status will either display:\n\nOccupied – A car is present in the parking bay at that time.\n\nUnoccupied – The parking bay is available at that time.\n', 'The latitude and longitude of the parking bay', '', '', '', '', 'The latitude of the parking bay', 'The longitude of the parking bay', '']",2017-09-25 05:01:31+00:00,"['parking', 'sensor', 'near real-time', 'vacancy', 'transport', 'travel', 'disability', 'accessibility', 'sensors', 'safemobility']","[{'key': 'Data-management_Source-data-update-frequency', 'value': 'Real-time'}, {'key': 'Quality_Update-frequency', 'value': '2 Minutes'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Quality_Known-Issues', 'value': 'Parking Sensors are not operational on Public Holidays. Parking Sensors will show car parks as vacant when blocked by construction zones. '}, {'key': ""Quality_What's-included"", 'value': 'All active sensor readings. Number of sensor readings may fluctuate as sensor connections connect/reconnect to the network. '}, {'key': 'How-to-use_Further-information', 'value': 'http://www.melbourne.vic.gov.au/parking-and-transport/parking/Pages/parking-faqs.aspx'}]",https://data.melbourne.vic.gov.au/d/vh2v-4nfs
4,Pay Stay zones linked to street segments,7q9g-yyvg,[],"This dataset contains each Pay Stay zone and the street segment that it is linked to. The Pay Stay zone can go across multiple street segments and also one street segment can have multiple Pay Stay zones.

This data can be linked to both the sign plate Pay Stay zone dataset.
https://data.melbourne.vic.gov.au/Transport-Movement/Sign-plates-located-in-each-pay-stay-zone/wwkr-v8s7 
and also the Pay Stay parking restrictions dataset
https://data.melbourne.vic.gov.au/Transport-Movement/Pay-Stay-parking-restrictions/ambt-72qg
The datasets can be joined on Pay Stay zone.

To create a spatial dataset the street segment can be joined with the road corridor dataset on the street segment id.
https://data.melbourne.vic.gov.au/Property-Planning/Road-corridors/9mdh-8yau

For further information on Pay Stay https://www.paystay.com.au/",2020-02-24T02:10:34.000Z,2017-11-01T03:43:04.000Z,2020-02-24 02:10:34+00:00,2018-03-02 01:46:14+00:00,"{'page_views_last_week': 99, 'page_views_last_month': 422, 'page_views_total': 30920, 'page_views_last_week_log': 6.643856189774725, 'page_views_last_month_log': 8.72451385311995, 'page_views_total_log': 14.91629935701764}","['pay_stay_zone', 'street', 'between_street_2', 'street_segment_id', 'between_street_1']","['Text', 'Text', 'Text', 'Text', 'Text']","['A collection of 1 or more parking bays in which the same restrictions apply', 'The street the pay stay zone is located on', 'The next street along that intersects the current street (should be in the opposite direction of travel, i.e. behind)', 'An unique identifier for part of street described by a Street, Between Street 1 and Between street 2', 'The next street along that intersects the current street (should be in the direction of travel, i.e. in front)']",2017-11-28 21:08:40+00:00,"['parking', 'paystay', 'street', 'travel']","[{'key': 'Quality_Update-frequency', 'value': 'Quarterly'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Monthly'}]",https://data.melbourne.vic.gov.au/d/7q9g-yyvg
5,Median House Prices - By Type and Sale Year,i8px-csib,[],"Median prices for dwellings/townhouses, and apartments by their year of sale for the City of Melbourne.",2020-02-25T07:02:51.000Z,2017-05-12T05:45:59.000Z,2020-02-25 07:02:51+00:00,2017-05-12 05:48:58+00:00,"{'page_views_last_week': 201, 'page_views_last_month': 863, 'page_views_total': 26667, 'page_views_last_week_log': 7.6582114827517955, 'page_views_last_month_log': 9.754887502163468, 'page_views_total_log': 14.702822011777029}","['type', 'sale_year', 'median_price', 'transaction_count']","['Text', 'Number', 'Number', 'Number']","['', '', '', '']",2017-05-12 05:49:08+00:00,"['growth city', 'house prices', 'house sale', 'property', 'residence', 'stats']","[{'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/i8px-csib
6,On-street Parking Bays,crvt-b4kt,[],"This dataset contains spatial polygons which represent parking bays across the city. Each bay can also link to it's parking meter, and parking sensor information.

How the data joins:

There are three datasets that make up the live parking sensor release. They are the on-street parking bay sensors, on-street parking bays and the on-street car park bay information. 
The way the datasets join is as follows. The on-street parking bay sensors join to the on-street parking bays by the marker_id attribute. The on-street parking bay sensors join to the on-street car park bay restrictions by the bay_id attribute. The on-street parking bays and the on-street car park bay information don’t currently join.



Please see City of Melbourne's disclaimer regarding the use of this data. https://data.melbourne.vic.gov.au/stories/s/94s9-uahn",2021-07-31T16:03:19.000Z,2017-09-28T00:37:38.000Z,2021-07-31 16:02:52+00:00,2021-07-31 16:03:19+00:00,"{'page_views_last_week': 160, 'page_views_last_month': 659, 'page_views_total': 23433, 'page_views_last_week_log': 7.330916878114618, 'page_views_last_month_log': 9.366322214245816, 'page_views_total_log': 14.51631561149792}",[],[],[],2017-09-28 00:37:38+00:00,"['accessibility', 'areas', 'bays', 'cars', 'cityreactivation', 'parking', 'transport', 'trucks']","[{'key': 'Quality_Source-data-update-frequency', 'value': 'Daily'}, {'key': 'Quality_Data-quality-statement', 'value': 'This data contains all spatially mapped on-street car parking bays. There is a large number of bays which have not yet been mapped. Data has been collected from a number of years, there may be parking bays that no longer exist that still show in dataset. Users are advised to contact council using the email listed to report data errors. '}, {'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': ""Quality_What's-included"", 'value': 'All surveyed parking bay data'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Daily'}]",https://data.melbourne.vic.gov.au/d/crvt-b4kt
7,"Cafes and restaurants, with seating capacity",xt2y-tnn9,[],"Data collected as part of the City of Melbourne's Census of Land Use and Employment (CLUE). The data covers the period 2002-2019. It show business establishments with their trading name, industry (ANZSIC4) classification, number of dining seats (classified by indoor/outdoor), location and CLUE block and small area designation.

For more information about CLUE see http://www.melbourne.vic.gov.au/clue",2021-03-12T04:45:01.000Z,2015-12-02T06:31:51.000Z,2021-03-12 04:45:01+00:00,2020-09-10 03:54:10+00:00,"{'page_views_last_week': 371, 'page_views_last_month': 769, 'page_views_total': 23200, 'page_views_last_week_log': 8.539158811108031, 'page_views_last_month_log': 9.588714635582264, 'page_views_total_log': 14.501899368693211}","['trading_name', 'property_id', 'block_id', 'seating_type', 'census_year', 'base_property_id', 'clue_small_area', 'street_address', 'geocoded_column', 'y_coordinate', 'x_coordinate', 'number_of_seats', 'industry_anzsic4_description', 'industry_anzsic4_code']","['Text', 'Number', 'Text', 'Text', 'Number', 'Number', 'Text', 'Text', 'Point', 'Number', 'Number', 'Number', 'Text', 'Number']","['Trading name is the name under which a business trades or is known by.', 'Property ID is the optional second tier in the property hierarchy, is an individual key use to identify when multiple buildings are located within the boundary of a Base Property ID.', 'The Census area is divided into city blocks, each of which is identified by a unique block number. Blocks are primarily defined by major roads. There are around 606 blocks in the City of Melbourne.', 'A venue where indoor or outdoor seating is provided for commercial use.', 'The CLUE census year refers to the year in which surveying was completed.', 'Base Property ID is an individual key use to identify each land parcel which is a space (not a street or road) capable of being the parent property of either a Building Property or an occupancy property, the base is the first tier in the property hierarchy.', 'CLUE small areas are composed of a group of city blocks, each of which is identified by a unique block number.', 'Street Address of the Property ID', 'The longitude and latitude of the cafe or restaurant', 'The latitude of the cafe or restaurant', 'The longitude of the cafe or restaurant', 'The total number of seats in the establishment by seating type.', 'Each establishment in CLUE is classified by an ANZSIC 4 description, allocated to the predominant industry within which it operates using the Australian New Zealand Standard Industrial Classification (ANZSIC) developed by the ABS.', 'Each establishment in CLUE is classified by an ANZSIC 4 code, allocated to the predominant industry within which it operates using the Australian New Zealand Standard Industrial Classification (ANZSIC) developed by the ABS.']",2020-09-10 03:55:07+00:00,"['beverage', 'business', 'cafe', 'census of land use and employment', 'cityreactivation', 'clue', 'food', 'industry', 'restaurant']","[{'key': ""Quality_What's-included"", 'value': 'Full dataset has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'Quality_Data-quality-statement', 'value': 'A team of 4 census officers conduct field interviews which involves visiting every establishment in every building in the Census area (City of Melbourne municipality). Every commercial property is surveyed at least once every two years.'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/xt2y-tnn9
8,Development Activity Monitor,gh7s-qda8,[],"The project monitors major new commercial and residential property development in the City of Melbourne municipality. 
The outputs can inform short to medium-term supply forecasts in the commercial and residential markets. This data provides our current understanding of major development sites that are recently completed, under construction, planned or mooted in all of 13 small areas of the city.

For full details about this dataset and the meaning of each field, see the <a href=""https://data.melbourne.vic.gov.au/api/views/gh7s-qda8/files/51e3db26-a063-4825-ae6c-1a40c0259c75?download=true&filename=DAM_-_Info_-_DAM_May_2016_Meta_Data_Info.pdf"">attached document</a>.",2021-06-25T04:43:57.000Z,2016-08-31T06:28:55.000Z,2021-06-25 04:43:54+00:00,2021-06-25 04:43:57+00:00,"{'page_views_last_week': 220, 'page_views_last_month': 336, 'page_views_total': 22626, 'page_views_last_week_log': 7.787902559391432, 'page_views_last_month_log': 8.396604781181859, 'page_views_total_log': 14.465757697162232}","['property_id_2', 'data_format', 'street_address', 'institutional_accom_beds', 'hotel_rooms', 'childcare_places', 'clue_small_area', 'property_id', 'property_id_3', 'property_id_4', 'property_id_5', 'floors_above', 'studio_dwe', 'one_bdrm_dwe', 'student_apartments', 'student_beds', 'serviced_apartments', 'retail_flr', 'industrial_flr', 'education_flr', 'hospital_flr', 'recreation_flr', 'community_flr', 'town_planning_application_no', 'longitude', 'hostel_beds', 'geocoded_column', 'publicdispaly_flr', 'status', 'two_bdrm_dwe', 'development_key', 'year_completed', 'resi_dwellings', 'student_accommodation_units', 'storage_flr', 'bike_spaces', 'office_flr', 'latitude', 'clue_block', 'three_bdrm_dwe', 'hotels_serviced_apartments', 'car_spaces']","['Number', 'Text', 'Text', 'Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number', 'Number', 'Text', 'Number', 'Number', 'Point', 'Number', 'Text', 'Number', 'Text', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number']","['Secondary property ID\n', 'Denoting if the data is in the pre May 2016 or Post May 2016 data format. \n', 'Street Address', 'Number of institutional accommodation beds\n', 'Number of hotel rooms', 'Number of childcare places', 'CLUE Small Area\n', 'Primary property ID\n', 'Tertiary property ID', 'Quaternary property ID', 'Quinary property ID', 'Number of floors above ground', 'Number of studio bedroom dwellings if known', 'Number of one bedroom dwellings if known', 'Number of student apartments if known\n', 'Number of student beds if known', 'Number of serviced apartments', 'Amount of net lettable retail space in meters squared', 'Amount of net lettable industrial space in meters squared\n', 'Amount of net lettable education space in meters squared', 'Amount of net lettable hospital space in meters squared', 'Amount of net lettable recreation space in meters squared', 'Amount of net lettable community space in meters squared', 'Town Planning Application number where known', '', 'Number of hostel beds', '', 'Amount of net lettable public display space in meters squared', 'Development status', 'Number of two bedroom dwellings if known', 'Development key', 'Year of building completion if building is completed', 'Number of residential dwellings', 'Total number of student beds within the development', 'Amount of net lettable storage space in meters squared\n', 'Number of bike parking space if known', 'Amount of net lettable office space in meters squared', '', 'CLUE Block\n', 'Number of three or more bedroom dwellings if known', 'Number of hotel rooms and serviced apartments', 'Number of car parking space if known']",2019-08-06 01:10:30+00:00,"['accessibility', 'activity', 'building', 'cityreactivation', 'covid-19', 'dam', 'dev', 'development', 'dwellings', 'monitor', 'office', 'property', 'retail']","[{'key': ""Quality_What's-included"", 'value': 'Data has been completed with information availible at the time of publish'}, {'key': 'Quality_Update-frequency', 'value': 'Monthly'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'How-to-use_Further-information', 'value': 'https://data.melbourne.vic.gov.au/api/views/gh7s-qda8/files/51e3db26-a063-4825-ae6c-1a40c0259c75?download=true&filename=DAM_-_Info_-_DAM_May_2016_Meta_Data_Info.pdf'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Monthly'}]",https://data.melbourne.vic.gov.au/d/gh7s-qda8
9,"Buildings with name, age, size, accessibility, and bicycle facilities",pmhb-s6pn,[],"Data collected as part of the City of Melbourne's Census of Land Use and Employment (CLUE). The data covers the period 2002-2019. It shows selected building attributes including location, construction year, refurbished year, number of floors above ground, predominant space use, bicycle/shower facilities and building accessibility. Building accessibility data is collected to track accessibility for internal City of Melbourne purposes. This data is provided as a community service by the City of Melbourne. It is not and does not purport to be a complete guide. There may be errors or omissions. Data is liable to change. The City of Melbourne accepts no responsibility in respect of any claim arising from use or reliance upon this data.

For more information about CLUE see http://www.melbourne.vic.gov.au/clue",2021-03-12T04:49:59.000Z,2014-06-23T04:34:36.000Z,2021-03-12 04:49:59+00:00,2020-09-11 00:20:26+00:00,"{'page_views_last_week': 203, 'page_views_last_month': 422, 'page_views_total': 18519, 'page_views_last_week_log': 7.672425341971495, 'page_views_last_month_log': 8.72451385311995, 'page_views_total_log': 14.1767964781476}","['accessibility_rating', 'refurbished_year', 'construction_year', 'suburb', 'street_address', 'x_coordinate', 'y_coordinate', 'building_name', 'bicycle_spaces', 'base_property_id', 'property_id', 'block_id', 'census_year', 'accessibility_type', ':@computed_region_evbi_jbp8', 'has_showers', 'building_height_highest_floor', 'predominant_space_use', 'accessibility_type_description', 'geocoded_column']","['Number', 'Number', 'Number', 'Text', 'Text', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number', 'Text', 'Number', 'Text', 'Number', 'Text', 'Number', 'Text', 'Text', 'Point']","['3 = High accessibility, 2 = Moderate accessibility, 1 = Low accessibility, 0 =Not rated', 'Refurbishment year of the building', 'Construction year of the building', 'CLUE small areas are composed of a group of city blocks, each of which is identified by a unique block number.', 'Street Address of the building (Property ID)', 'The longitude of the building', 'The latitude of the building', 'Name that the building is known by or named.', 'Total number of bike parking spaces in the building.', 'Base Property ID is an individual key use to identify each land parcel which is a space (not a street or road) capable of being the parent property of either a Building Property or an occupancy property, the base is the first tier in the property hierarchy.', 'Property ID is the optional second tier in the property hierarchy, is an individual key use to identify when multiple buildings are located within the boundary of a Base Property ID.', 'The Census area is divided into city blocks, each of which is identified by a unique block number. Blocks are primarily defined by major roads. There are around 606 blocks in the City of Melbourne.', 'The CLUE census year refers to the year in which surveying was completed.', 'Classification of accessibility rating of the building.', ""This column was automatically created in order to record in what polygon from the dataset 'Municipal boundary' (evbi-jbp8) the point in column 'geocoded_column' is located.  This enables the creation of region maps (choropleths) in the visualization canvas and data lens."", 'Building has end point shower facilities available.', 'Total number of floors (counted above ground) of the building', 'Predominant space use of the building', 'Building access Description of accessibility rating of the building.', 'The latitude and logitude of the building']",2020-09-11 00:22:07+00:00,"['accessibility', 'bicycle', 'building', 'census of land use and employment', 'changemaker', 'cityreactivation', 'clue', 'construction date', 'entrepreneur', 'floors', 'people', 'refurbish', 'safemobility', 'use']","[{'key': ""Quality_What's-included"", 'value': 'All data held by the City of Melbourne has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': 'Quality_Data-quality-statement', 'value': 'Building accessibility data is collected to track accessibility for internal City of Melbourne purposes. This data is provided as a community service by the City of Melbourne. It is not and does not purport to be a complete guide. There may be errors or omissions. Data is liable to change. The City of Melbourne accepts no responsibility in respect of any claim arising from use or reliance upon this data.'}, {'key': 'How-to-use_Further-information', 'value': 'http://www.melbourne.vic.gov.au/clue'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/pmhb-s6pn
