,rd_seg_id,marker_id,rd_seg_dsc,geometry,centroid,lati,long,area_m2,bay_id,status
0,23247,C5010,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.958233012554 -37.806462475927, 144.958167397913 -37.806455390454, 144.95817134885 -37.806432361816, 144.958237106909 -37.806438610779, 144.958233012554 -37.806462475927)))",POINT (144.9582024118436 -37.80644722956869),-37.80644722956869,144.9582024118436,9.388646443981592,,Unknown
1,23247,4999W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.958068678868 -37.806601142626, 144.958012995018 -37.806594910558, 144.958017147973 -37.80657085899, 144.958072905636 -37.806577338357, 144.958068678868 -37.806601142626)))",POINT (144.9580428871446 -37.80658605333972),-37.80658605333972,144.95804288714456,8.148093807990284,,Unknown
2,20173,1114E,Queen Street between Little Collins Street and Bourke Street,"MULTIPOLYGON (((144.96099682854 -37.815346883227, 144.960976694268 -37.815352596769, 144.960953225182 -37.815301366764, 144.960973281588 -37.815295675307, 144.96099682854 -37.815346883227)))",POINT (144.9609750149852 -37.81532414705443),-37.815324147054426,144.9609750149852,6.970730440490701,,Unknown
3,20173,1116E,Queen Street between Little Collins Street and Bourke Street,"MULTIPOLYGON (((144.960973281588 -37.815295675307, 144.960953225182 -37.815301366764, 144.960931695765 -37.81525436892, 144.960951668212 -37.81524867331, 144.960973281588 -37.815295675307)))",POINT (144.9609524750853 -37.81527503502764),-37.81527503502764,144.96095247508535,6.3725767582957165,,Unknown
4,23247,4995W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.958060066123 -37.806649664899, 144.958004459263 -37.80664344047, 144.958008818864 -37.806619103208, 144.95806438723 -37.806625322462, 144.958060066123 -37.806649664899)))",POINT (144.9580344327802 -37.80663438418796),-37.80663438418796,144.9580344327802,8.26845648466768,,Unknown
5,23247,4965W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.957998914333 -37.80700907492, 144.957942057075 -37.807002711622, 144.957946534103 -37.806976875943, 144.958003462667 -37.806983247684, 144.957998914333 -37.80700907492)))",POINT (144.9579727424331 -37.80699297483198),-37.80699297483198,144.95797274243313,8.977669994159587,,Unknown
6,23247,4959W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.957986017418 -37.80708191232, 144.95792952191 -37.807074949699, 144.957933492008 -37.807052136786, 144.957990417173 -37.807058510277, 144.957986017418 -37.80708191232)))",POINT (144.9579599921631 -37.80706688159395),-37.807066881593954,144.95795999216313,8.018870912014767,,Unknown
7,23247,C5006,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.95822504955 -37.806508898025, 144.95815943376 -37.806501811625, 144.958163415825 -37.80647860149, 144.958229031621 -37.806485686986, 144.95822504955 -37.806508898025)))",POINT (144.9581942328975 -37.80649374955841),-37.80649374955841,144.9581942328975,9.294205085780877,,Unknown
8,23247,4961W,Queen Street between Therry Street and Victoria Street,"MULTIPOLYGON (((144.957990417173 -37.807058510277, 144.957933492008 -37.807052136786, 144.957937617861 -37.807028328971, 144.957994186358 -37.80703466113, 144.957990417173 -37.807058510277)))",POINT (144.9579639265544 -37.80704342181025),-37.80704342181025,144.9579639265544,8.25212765091474,,Unknown
9,20013,3170N,Lonsdale Street between William Street and King Street,"MULTIPOLYGON (((144.956470390889 -37.813870548748, 144.956418028669 -37.81388549886, 144.956409994178 -37.813867744151, 144.956462348804 -37.813852821847, 144.956470390889 -37.813870548748)))",POINT (144.9564401852792 -37.81386915549952),-37.81386915549952,144.95644018527923,6.285299637833036,,Unknown
