st_marker_id,lati,long
C5010,-37.80644722956869,144.9582024118436
4999W,-37.80658605333972,144.95804288714456
1114E,-37.815324147054426,144.9609750149852
1116E,-37.81527503502764,144.96095247508535
4995W,-37.80663438418796,144.9580344327802
4965W,-37.80699297483198,144.95797274243313
4959W,-37.807066881593954,144.95795999216313
C5006,-37.80649374955841,144.9581942328975
4961W,-37.80704342181025,144.9579639265544
3170N,-37.81386915549952,144.95644018527923
4953W,-37.8071779266579,144.9579407611197
2195S,-37.814592056351344,144.96586866023975
5005W,-37.806481023446125,144.9580609665969
5009W,-37.806430281102166,144.95806948408435
5007W,-37.806456047172645,144.95806515812873
C5008,-37.80647053874526,144.95819821444897
4997W,-37.80661011553215,144.95803872074822
1112E,-37.81537451852035,144.96099813402543
4949W,-37.80722855570342,144.9579319818413
4993W,-37.80665843432275,144.95803008596158
3166N,-37.81385307532275,144.95649655125348
4947W,-37.80725255465345,144.9579278413153
4955W,-37.80715315490746,144.95794520524146
5011W,-37.806403797317365,144.95807400422666
4963W,-37.80701868332958,144.95796819606397
4951W,-37.8072032322894,144.95793634330832
C5004,-37.80651696031872,144.95819025092624
5003W,-37.80650513178138,144.9580570077692
4967W,-37.80696670307191,144.9579772298204
3182N,-37.813902411847614,144.9563242167079
3186N,-37.81392104244404,144.9562589171368
3519S,-37.81306406062931,144.95582132344913
3517S,-37.81304652173797,144.95588278725816
3514N,-37.81297472467479,144.95594829730953
3515S,-37.81302898401879,144.95594422401845
3518N,-37.81300988056314,144.9558254495168
3516N,-37.81299153852541,144.95588954077496
C2936,-37.81261091496932,144.96117439626278
3507S,-37.812943546176335,144.95624465410307
20619S,-37.83398865474259,144.9809490978939
20605S,-37.83389071884502,144.98015926055135
20611S,-37.83391801624573,144.98036542867808
20625S,-37.83401701325211,144.98116698832592
20601S,-37.83387251977323,144.98002181486407
3433S,-37.81078776064455,144.96364692478855
20613S,-37.83392711560324,144.98043415160527
3733S,-37.80935963195714,144.96487136882877
20623S,-37.83400756034441,144.9810943581149
20617S,-37.8339792015979,144.98087646789716
1773S,-37.81671308290375,144.96623534132598
20603S,-37.83388161932875,144.9800905376983
20615S,-37.83393621492103,144.98050287455186
20607S,-37.83389981803205,144.9802279829429
C6822,-37.80950654547539,144.9556158646046
20627S,-37.834026466219896,144.98123961840486
1777S,-37.81677528368574,144.96602195761767
1775S,-37.81675425135337,144.96609326504276
C6820,-37.80953322192628,144.95561127172158
20621S,-37.8339981077389,144.9810217280647
20609S,-37.83390891713764,144.98029670624842
6561W,-37.80445445524325,144.9450801084603
2191S,-37.81437029272503,144.966613334445
C6946,-37.80929008009481,144.95600736509596
7329W,-37.80556051131506,144.94922042501986
13312N,-37.82224167083305,144.9467663303434
13310N,-37.82225314586981,144.946838824891
20262E,-37.82954072065864,144.98548419494662
20264E,-37.82958759767455,144.9854901965996
20260E,-37.82949424575975,144.98548662883664
13819S,-37.81512860885479,144.9371318403706
13825S,-37.8152063853041,144.93692699839153
13821S,-37.81515437186658,144.93706398857444
13817S,-37.81510254856483,144.93720047537937
13823S,-37.8151803297253,144.9369956232476
13458E,-37.81993730229518,144.9486542701382
13464E,-37.820106201844816,144.948660276913
5265W,-37.80467502457517,144.95728923323884
5269W,-37.804573309334216,144.95730719843937
5257W,-37.80490388295428,144.95724880854593
5267W,-37.80459873791197,144.9573027073475
5255W,-37.80492931347567,144.95724431880782
5271W,-37.80452245167129,144.95731618223573
12042E,-37.81253560126382,144.9833079402338
5261W,-37.80477674047287,144.9572712683757
5259W,-37.80485302744966,144.95725779372384
5263W,-37.804700453539326,144.95728474325392
C304,-37.814741532027895,144.9717936819517
C328,-37.81449302734524,144.9716782106821
C344,-37.81437048921234,144.9716210837618
3690N,-37.80870713214107,144.96661088055214
3692N,-37.80872626791288,144.96654619215974
1547W,-37.81580657552302,144.95249647502104
12567S,-37.816050812441866,144.98140688192134
12520N,-37.81527780156081,144.97608852430892
12571S,-37.81606703414541,144.98155196559068
12548N,-37.8157907291397,144.980746217383
12545S,-37.81596393076225,144.98061904147588
12560N,-37.81583521689455,144.98115019073893
12559S,-37.81602168447919,144.98114415376597
12552N,-37.81580555792028,144.9808808793871
12537S,-37.81593434678452,144.9803496257329
12551S,-37.81598886622404,144.98084464213596
12544N,-37.815775979729935,144.98061085963997
