,pay_stay_zone,street,between_street_1,between_street_2,street_segment_id,db_read_time
0,30001001,ARGYLE PLACE SOUTH,LYGON STREET,CARDIGAN STREET,20751,2021-08-02 22:24:15.486916
1,30001002,BARRY STREET,LEICESTER STREET,PELHAM STREET,20476,2021-08-02 22:24:15.486916
2,30001003,BARRY STREET,PELHAM STREET,LEICESTER STREET,20476,2021-08-02 22:24:15.486916
3,30001005,BARRY STREET,GRATTAN STREET,PELHAM STREET,20480,2021-08-02 22:24:15.486916
4,30001006,BARRY STREET,PELHAM STREET,GRATTAN STREET,20480,2021-08-02 22:24:15.486916
5,30001007,BARRY STREET,PELHAM STREET,LEICESTER STREET,20476,2021-08-02 22:24:15.486916
6,30001008,BARRY STREET,LEICESTER STREET,PELHAM STREET,20476,2021-08-02 22:24:15.486916
7,30001009,BERKELEY STREET,GRATTAN STREET,PELHAM STREET,20474,2021-08-02 22:24:15.486916
8,30001010,BERKELEY STREET,LEICESTER STREET,QUEENSBERRY STREET,20456,2021-08-02 22:24:15.486916
9,30001012,BERKELEY STREET,PELHAM STREET,QUEENSBERRY STREET,20472,2021-08-02 22:24:15.486916
10,30001014,BOUVERIE STREET,GRATTAN STREET,LINCOLN SQUARE NORTH,20468,2021-08-02 22:24:15.486916
11,30001015,BOUVERIE STREET,LINCOLN SQUARE SOUTH,PELHAM STREET,22503,2021-08-02 22:24:15.486916
12,30001016,BOUVERIE STREET,LINCOLN SQUARE NORTH,GRATTAN STREET,20468,2021-08-02 22:24:15.486916
13,30001015,BOUVERIE STREET,LINCOLN SQUARE NORTH,PELHAM STREET,22504,2021-08-02 22:24:15.486916
14,30001015,BOUVERIE STREET,QUEENSBERRY STREET,LINCOLN SQUARE SOUTH,20464,2021-08-02 22:24:15.486916
15,30001019,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462,2021-08-02 22:24:15.486916
16,30001020,BOUVERIE STREET,LINCOLN SQUARE SOUTH,QUEENSBERRY STREET,20464,2021-08-02 22:24:15.486916
17,30001021,BOUVERIE STREET,QUEENSBERRY STREET,LINCOLN SQUARE SOUTH,20464,2021-08-02 22:24:15.486916
18,30001022,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462,2021-08-02 22:24:15.486916
19,30001023,LEICESTER STREET,VICTORIA STREET,BERKELEY STREET,20453,2021-08-02 22:24:15.486916
20,30001023,LEICESTER STREET,BERKELEY STREET,QUEENSBERRY STREET,20455,2021-08-02 22:24:15.486916
21,30001024,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462,2021-08-02 22:24:15.486916
22,30001025,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462,2021-08-02 22:24:15.486916
23,30001026,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462,2021-08-02 22:24:15.486916
24,30001027,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462,2021-08-02 22:24:15.486916
25,30001028,CARDIGAN STREET,ARGYLE PLACE NORTH,GRATTAN STREET,20512,2021-08-02 22:24:15.486916
26,30001029,CARDIGAN STREET,GRATTAN STREET,ARGYLE PLACE NORTH,20512,2021-08-02 22:24:15.486916
