,sale_year,type,median_price,transaction_count,db_read_time
0,2000,House/Townhouse,275000,649,2021-08-02 22:23:49.965174
1,2000,Residential Apartment,302500,3660,2021-08-02 22:23:49.965174
2,2001,House/Townhouse,320000,779,2021-08-02 22:23:49.965174
3,2001,Residential Apartment,330545,5789,2021-08-02 22:23:49.965174
4,2002,House/Townhouse,381500,650,2021-08-02 22:23:49.965174
5,2002,Residential Apartment,369500,4888,2021-08-02 22:23:49.965174
6,2003,House/Townhouse,385000,630,2021-08-02 22:23:49.965174
7,2003,Residential Apartment,310000,4092,2021-08-02 22:23:49.965174
8,2004,House/Townhouse,395000,572,2021-08-02 22:23:49.965174
9,2004,Residential Apartment,336000,2617,2021-08-02 22:23:49.965174
10,2005,House/Townhouse,450000,600,2021-08-02 22:23:49.965174
11,2005,Residential Apartment,335000,2860,2021-08-02 22:23:49.965174
12,2006,House/Townhouse,490500,600,2021-08-02 22:23:49.965174
13,2006,Residential Apartment,370000,3437,2021-08-02 22:23:49.965174
14,2007,House/Townhouse,615000,778,2021-08-02 22:23:49.965174
15,2007,Residential Apartment,400000,5399,2021-08-02 22:23:49.965174
16,2008,House/Townhouse,543500,599,2021-08-02 22:23:49.965174
17,2008,Residential Apartment,422000,4860,2021-08-02 22:23:49.965174
18,2009,House/Townhouse,585796.5,661,2021-08-02 22:23:49.965174
19,2009,Residential Apartment,450000,5381,2021-08-02 22:23:49.965174
20,2010,House/Townhouse,740000,670,2021-08-02 22:23:49.965174
21,2010,Residential Apartment,508000,8186,2021-08-02 22:23:49.965174
22,2011,House/Townhouse,710000,531,2021-08-02 22:23:49.965174
23,2011,Residential Apartment,510000,6267,2021-08-02 22:23:49.965174
24,2012,House/Townhouse,675000,531,2021-08-02 22:23:49.965174
25,2012,Residential Apartment,493960,5740,2021-08-02 22:23:49.965174
26,2013,House/Townhouse,737750,592,2021-08-02 22:23:49.965174
27,2013,Residential Apartment,520000,7611,2021-08-02 22:23:49.965174
28,2014,House/Townhouse,800000,577,2021-08-02 22:23:49.965174
29,2014,Residential Apartment,525000,7359,2021-08-02 22:23:49.965174
30,2015,House/Townhouse,890000,537,2021-08-02 22:23:49.965174
31,2015,Residential Apartment,510000,4248,2021-08-02 22:23:49.965174
32,2016,House/Townhouse,950000,454,2021-08-02 22:23:49.965174
33,2016,Residential Apartment,508000,3333,2021-08-02 22:23:49.965174
