,bayid,deviceid,description1,disabilityext1,duration1,effectiveonph1,endtime1,exemption1,fromday1,starttime1,today1,typedesc1,description2,disabilityext2,duration2,effectiveonph2,endtime2,exemption2,fromday2,starttime2,today2,typedesc2,description3,disabilityext3,duration3,effectiveonph3,endtime3,fromday3,starttime3,today3,typedesc3,description4,description5,description6,disabilityext4,disabilityext5,disabilityext6,duration4,duration5,duration6,effectiveonph4,effectiveonph5,effectiveonph6,endtime4,endtime5,endtime6,fromday4,fromday5,fromday6,starttime4,starttime5,starttime6,today4,today5,today6,typedesc4,typedesc5,typedesc6,exemption4,exemption5,exemption3,db_read_time
0,8634,28003,2P RPA 1B 7:30-23:00 M-SUN,240,120,1,23:00:00,Resident Permit Area 1B,1,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
1,8587,27956,2P RPA 1B 7:30-23:00 M-SUN,240,120,1,23:00:00,Resident Permit Area 1B,1,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
2,8498,27876,2P RPA 1B 7:30-23:00 M-SUN,240,120,1,23:00:00,Resident Permit Area 1B,1,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
3,8167,25546,1P M-SUN 7:30-23:00,120,60,1,23:00:00,,1,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
4,586,28150,1/4P 07.30 - 23.00,30,15,1,23:00:00,,1,07:30:00,0,1/4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
5,4011,24706,2P MTR RPA M-F 7:30-18:30,240,120,0,18:30:00,Residents Permit Accepted,1,07:30:00,5,2P Meter,2P MTR RPA SAT 7:30-12:30,240,120,0,12:30:00,Residents Permit Accepted,6,07:30:00,6,2P Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
6,8099,25478,2P M-SUN 7:30AM-11PM,240,120,1,23:00:00,,1,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
7,8067,25446,1/4P M-F 7:30-18:30,30,15,0,18:30:00,,1,07:30:00,5,1/4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
8,1036,25230,1P MTR M-SAT 7:30-18:30,120,60,0,18:30:00,,1,07:30:00,6,1P Meter,2P MTR M-SAT 18.30 - 20.30,240,120,0,20:30:00,,1,18:30:00,6,2P,1P SUN 7:30-18:30,120,60,0,18:30:00,0,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
9,8083,25462,1P M-SUN 7:30-23:00,120,60,1,23:00:00,,1,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
10,8575,27944,2P RPA 1B 7:30-23:00 M-SUN,240,120,1,23:00:00,Resident Permit Area 1B,1,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
11,6154,24474,2P MTR M-SAT 7:30-18:30,240,120,0,18:30:00,,1,07:30:00,6,2P Meter,2P SUN 7:30-18:30,240,120,0,18:30:00,,0,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
12,7981,25360,2P TKT M-SUN7:30AM-11PM,240,120,1,23:00:00,,1,07:30:00,0,2P Ticket A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
13,3947,24656,4P MTR M-F 7:30-18:30,480,240,0,18:30:00,,1,07:30:00,5,4P Meter,4P MTR SAT 7:30-12:30,480,240,0,12:30:00,,6,07:30:00,6,4P Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
14,8152,25531,1P M-SUN 7:30-23:00,120,60,1,23:00:00,,1,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
15,8089,25468,2P M-SUN 7:30AM-11PM,240,120,1,23:00:00,,1,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
16,8151,25530,1P M-SUN 7:30-23:00,120,60,1,23:00:00,,1,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
17,8101,25480,2P M-SUN 7:30AM-11PM,240,120,1,23:00:00,,1,07:30:00,0,2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
18,8076,25455,1P M-SUN 7:30-23:00,120,60,1,23:00:00,,1,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
19,8068,25447,1/4P M-F 7:30-18:30,30,15,0,18:30:00,,1,07:30:00,5,1/4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
20,6849,24688,4P TKT A M-F 7:30-18:30,480,240,0,18:30:00,,1,07:30:00,5,4P Ticket A,4P TKT A SAT 7:30-12:30,480,240,0,12:30:00,,6,07:30:00,6,4P Ticket A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
21,1034,26175,1P MTR M-SAT 7:30-18:30,120,60,0,18:30:00,,1,07:30:00,6,1P Meter,2P MTR M-SAT 18.30 - 20.30,240,120,0,20:30:00,,1,18:30:00,6,2P,1P SUN 7:30-18:30,120,60,0,18:30:00,0,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
22,8144,25523,2P M-F 7:30AM-11PM,240,120,0,23:00:00,,1,07:30:00,5,2P,1P SAT-SUN 7:30AM-11PM,120,60,0,23:00:00,,6,07:30:00,0,1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 20:40:13.189735
