bay_id,db_read_time,status,date,hour,min,dow,dayOfWeek
998,2021-07-04 15:16:23,Present,2021-07-04,15,16,6,Sun
1004,2021-07-04 15:31:23,Unoccupied,2021-07-04,15,31,6,Sun
998,2021-07-04 15:46:23,Unoccupied,2021-07-04,15,46,6,Sun
1000,2021-07-04 16:01:23,Unoccupied,2021-07-04,16,1,6,Sun
998,2021-07-04 16:16:23,Present,2021-07-04,16,16,6,Sun
1003,2021-07-04 16:31:23,Unoccupied,2021-07-04,16,31,6,Sun
998,2021-07-04 16:46:23,Present,2021-07-04,16,46,6,Sun
1001,2021-07-04 17:01:23,Present,2021-07-04,17,1,6,Sun
1002,2021-07-04 17:16:23,Unoccupied,2021-07-04,17,16,6,Sun
1005,2021-07-04 17:31:23,Present,2021-07-04,17,31,6,Sun
1005,2021-07-04 17:46:23,Present,2021-07-04,17,46,6,Sun
998,2021-07-04 18:01:23,Unoccupied,2021-07-04,18,1,6,Sun
999,2021-07-04 18:16:23,Unoccupied,2021-07-04,18,16,6,Sun
1002,2021-07-04 18:31:23,Unoccupied,2021-07-04,18,31,6,Sun
1003,2021-07-04 18:46:23,Present,2021-07-04,18,46,6,Sun
1003,2021-07-04 19:01:23,Unoccupied,2021-07-04,19,1,6,Sun
1004,2021-07-04 19:16:23,Present,2021-07-04,19,16,6,Sun
1001,2021-07-04 19:31:23,Present,2021-07-04,19,31,6,Sun
1001,2021-07-04 19:46:23,Present,2021-07-04,19,46,6,Sun
1003,2021-07-04 20:01:23,Unoccupied,2021-07-04,20,1,6,Sun
998,2021-07-04 20:16:23,Present,2021-07-04,20,16,6,Sun
1005,2021-07-04 20:31:23,Present,2021-07-04,20,31,6,Sun
1000,2021-07-04 20:46:23,Unoccupied,2021-07-04,20,46,6,Sun
999,2021-07-04 21:01:23,Unoccupied,2021-07-04,21,1,6,Sun
1003,2021-07-04 21:16:23,Unoccupied,2021-07-04,21,16,6,Sun
1004,2021-07-04 21:31:23,Present,2021-07-04,21,31,6,Sun
1004,2021-07-04 21:46:23,Present,2021-07-04,21,46,6,Sun
1002,2021-07-04 22:01:23,Unoccupied,2021-07-04,22,1,6,Sun
1000,2021-07-04 22:16:23,Unoccupied,2021-07-04,22,16,6,Sun
1003,2021-07-04 22:31:23,Unoccupied,2021-07-04,22,31,6,Sun
1002,2021-07-04 22:46:23,Unoccupied,2021-07-04,22,46,6,Sun
999,2021-07-04 23:01:23,Present,2021-07-04,23,1,6,Sun
1004,2021-07-04 23:16:23,Present,2021-07-04,23,16,6,Sun
1004,2021-07-04 23:31:23,Present,2021-07-04,23,31,6,Sun
1005,2021-07-04 23:46:23,Present,2021-07-04,23,46,6,Sun
999,2021-07-05 00:01:23,Present,2021-07-05,0,1,0,Mon
1001,2021-07-05 00:16:23,Present,2021-07-05,0,16,0,Mon
1000,2021-07-05 00:31:23,Present,2021-07-05,0,31,0,Mon
1005,2021-07-05 00:46:23,Unoccupied,2021-07-05,0,46,0,Mon
999,2021-07-05 01:01:23,Unoccupied,2021-07-05,1,1,0,Mon
