bay_id,st_marker_id,lat,lon
8152,15197S,-37.81674508862993,144.9811153053907
8153,15199S,-37.81673355931401,144.9809988170741
6059,13040N,-37.82112630274722,144.94372360484854
5360,8901W,-37.82413759354036,144.96206878558004
3562,7088N,-37.80885217507168,144.95347329740525
5493,12046E,-37.812337421022605,144.98334238469334
1291,4483W,-37.81285802621315,144.95397486300203
2242,3930N,-37.81219457073095,144.9546289525064
5535,12003W,-37.81360134858862,144.9828915144626
632,91W,-37.80883571544522,144.97175471476578
4384,C7202,-37.80761906647832,144.95279678011752
3356,6044E,-37.80611418666328,144.95221261672373
7959,15006E,-37.81708836870367,144.98206749738844
4183,C6636,-37.80849716973863,144.95928147553542
5542,12017W,-37.81323985591021,144.98295410682363
5548,12029W,-37.81292958901017,144.98300681441947
8325,12111W,-37.80990841655152,144.9835105942471
6140,C13664,-37.81992818470879,144.94347559823188
1757,2380N,-37.81433264770753,144.96259635335218
5890,C9000,-37.8028519401346,144.96684307221085
1260,4450E,-37.81397735450837,144.9547467827323
5922,12809S,-37.80297901819951,144.96714913656768
5917,12804N,-37.8027954891266,144.96721631450913
2252,3945S,-37.81261862917434,144.95362160189677
6035,13081S,-37.821152904500416,144.94309232883276
7966,15020E,-37.81748207274789,144.98199983090774
2238,3926N,-37.81215821575508,144.95475730314467
5822,12531S,-37.81591260602434,144.98015121969345
8323,12107W,-37.810012000580045,144.98349324243753
3833,C5542,-37.80667854772118,144.9540880143075
1104,C1124,-37.81454637238771,144.96049093434277
2688,10197W,-37.803609634862845,144.94942976511825
5682,12341S,-37.81003394796344,144.97945746381384
5684,12345S,-37.81004871301233,144.979592157656
4178,C6620,-37.80842568141322,144.9595280840578
6747,6625S,-37.808520094652366,144.95954463796903
3271,5830E,-37.80671448447416,144.95353012545496
6064,13050N,-37.82104865070899,144.94339949099586
1266,4458E,-37.81380452889191,144.95466629238138
4296,C6928,-37.80939825401876,144.9560509085984
6745,6621S,-37.808482050941095,144.95967700708283
1020,1114E,-37.81532413603813,144.9609750268609
3809,C5454,-37.80749564751712,144.95445854052207
5829,12545S,-37.81596396837868,144.98061896478418
4373,C7180,-37.80745302557375,144.9531386804009
4380,C7194,-37.80755608192737,144.9529264961762
5362,8905W,-37.82405864585421,144.96216148541197
1268,4460E,-37.81375394177102,144.95464267215107
8151,15195S,-37.81674928920695,144.98114263809254
4320,C6978,-37.80933144439968,144.9562035389631
6742,6581S,-37.80841314412618,144.9599170672416
4426,C7692,-37.8036608605574,144.95506192376945
5158,C1121,-37.815391570588496,144.96087855962014
1893,989W,-37.81825427138061,144.9620693273518
5817,12562N,-37.81584255022129,144.98121721107145
3690,7650N,-37.80499242599822,144.95703922690257
4403,C7240,-37.80792434807715,144.9521679122788
5348,8877W,-37.82531767208792,144.96068072466193
1292,4484E,-37.8127273293113,144.95416523342118
639,C100,-37.8088965609683,144.97190792792816
1789,2441S,-37.81602681103982,144.9572802237258
5358,8897W,-37.82450433070958,144.96163789794954
5346,8873W,-37.82539182057477,144.9605934088404
4400,C7234,-37.807887745195,144.95224343121595
5036,9512N,-37.82837376717498,144.96640899509504
4298,C6932,-37.809377574431565,144.9560547857816
3632,7582N,-37.80559938943729,144.95429309928642
9063,985W,-37.81836934705734,144.96212279570167
1294,4486E,-37.81267387438292,144.95414032864602
4395,C7224,-37.80780659924804,144.95241056570126
5575,12083W,-37.81109578976549,144.9833128252393
6922,10055S,-37.82190885461032,144.96309929184798
4271,C6878,-37.80937358030814,144.95585125657686
4251,C6834,-37.80932853709153,144.95565051334395
1528,1892N,-37.81372065885267,144.97230264023773
3191,5415W,-37.80833177449209,144.95472159046906
1761,2384N,-37.814371236105046,144.96246424218043
643,C116,-37.80880200226363,144.97186447690888
3477,6542N,-37.80783883260787,144.961207007023
983,910E,-37.816862701910495,144.96446077170123
1101,C1118,-37.81461495691755,144.96052248158327
1892,987W,-37.81831341043588,144.96209694223612
4319,C6976,-37.809336130975176,144.95626589693285
3040,5143W,-37.80295473347809,144.95692438957946
1098,C1104,-37.81615960326194,144.96123167387884
5248,11521S,-37.811825749221,144.95214162680563
3837,C5550,-37.80658430465596,144.9540451198374
6744,6619S,-37.80846385230284,144.95974035586147
4286,C6908,-37.80920486408468,144.95581991090108
5361,8903W,-37.82409822525305,144.96211501714058
6038,13087S,-37.82110352876951,144.9428860551576
3968,C5904,-37.80465556333269,144.9538636192491
1055,981W,-37.8184925682074,144.96217929286786
6191,13272N,-37.82018292396344,144.94229570425165
2668,10177W,-37.80414887713744,144.9493349031893
3393,6229W,-37.8060050580372,144.95084709764473
5541,12015W,-37.81329104696481,144.98294512110553
6066,13054N,-37.82095614688842,144.94301339738053
4323,C6984,-37.80929677253113,144.9562728880633
5526,11985W,-37.81416868420777,144.9827942083191
5352,8885W,-37.824946075716575,144.96111801948322
5021,9453S,-37.830275139404506,144.9658662466181
2247,3936N,-37.81224916081595,144.95443640358283
3024,5117W,-37.8036417823928,144.95723751206768
4375,C7184,-37.80749350300659,144.95305535791255
3604,7552N,-37.80596466609564,144.9589088869089
1110,C1136,-37.8143763501657,144.96041280692424
3839,C5554,-37.80653683016629,144.9540234970279
2690,10199W,-37.80355520552128,144.94943939362565
5357,8895W,-37.824542423654,144.96159306132756
5832,12551S,-37.81598886917868,144.980844512107
2650,10141W,-37.80250501262054,144.94809301745207
4247,C6826,-37.809458940985735,144.9556238169763
1282,4474E,-37.813033688592654,144.95430777343313
628,87W,-37.80893653864281,144.97180131953928
4038,C6114,-37.80463775633693,144.9523542850579
909,C664,-37.81450216981256,144.96887680360908
1270,4462E,-37.81370335407711,144.9546191683335
1272,4464E,-37.81365261136899,144.9545957601222
856,671W,-37.81445691781761,144.96873486337353
4050,C6138,-37.80429383184477,144.95241519870223
4313,C6962,-37.80920769120985,144.9560225553128
4401,C7236,-37.807899678320105,144.95221886552395
3610,7558N,-37.806033996519375,144.95867183356904
8130,15160N,-37.81663498932373,144.98116356058125
1056,983W,-37.81843925969426,144.96215486694993
4324,C6986,-37.80929193561419,144.95621118531693
2686,10195W,-37.80366437698866,144.9494201510351
3475,6538N,-37.807802590485366,144.96133093254252
5354,8889W,-37.824869818255166,144.9612076794827
4088,C6296,-37.804813638660896,144.95081790039853
3947,C5862,-37.80526213247293,144.95375521844215
3492,6576N,-37.80822296307644,144.95988661053423
4282,C6900,-37.80924499662795,144.9558123618251
2256,3953S,-37.812690507137376,144.95336732046133
5347,8875W,-37.825353797628,144.9606383154937
5518,11969W,-37.814583043445566,144.98272347942634
3556,7082N,-37.80879376806563,144.95367715058157
3277,5836E,-37.80664488599042,144.9535424004917
3195,5435W,-37.80812111907606,144.95462556128655
4309,C6954,-37.80925037904049,144.95601475961075
5519,11971W,-37.81453171425345,144.98273230770295
4260,C6852,-37.809510592273725,144.9557626274517
3025,5119W,-37.80359102769667,144.95721410852093
5568,12069W,-37.81183781077067,144.98318875471043
3398,6239W,-37.805874010410136,144.95078756712493
3278,5838E,-37.80662168918761,144.95354649162206
1766,2394N,-37.81470482592168,144.96132030224308
5834,12555S,-37.81600397738242,144.98098276323154
4256,C6844,-37.8092295962456,144.9556683639797
5850,C9102,-37.79838809150849,144.96461950098268
6053,13028N,-37.82121879659034,144.94410948147316
6056,13034N,-37.82117319038632,144.94391931390288
4041,C6120,-37.8045629730273,144.95236769001846
4394,C7222,-37.80779350723506,144.95243753350476
4357,C7148,-37.80707022300263,144.9539228674356
1051,973W,-37.81870463469922,144.96227650552385
3516,6676N,-37.80867892311177,144.95830745188204
4261,C6854,-37.80949024283423,144.9557663736784
8336,C6632a,-37.808460677241314,144.95940727803438
4177,C6616,-37.80841695340485,144.9595582189984
5814,12556N,-37.81582039584319,144.98101517498233
4180,C6628,-37.80844275440215,144.9594691475015
4398,C7230,-37.80784634777768,144.9523287050182
5511,11955W,-37.81494395394061,144.98266205749468
1264,4456E,-37.8138551724101,144.95468997104118
8126,15152N,-37.81666435391564,144.9814410070728
5804,12536N,-37.8157464614875,144.98034187475793
4270,C6876,-37.80936810877179,144.9557893526814
5522,11977W,-37.81437468978826,144.98275918545454
5833,12553S,-37.81599647120727,144.98091417073698
956,C826,-37.811210911027,144.9673683886752
3619,7567S,-37.805918333860525,144.9554908226089
7960,15008E,-37.81714459719475,144.98205771671468
6037,13085S,-37.821119165074585,144.94295135097482
1052,975W,-37.818654156115066,144.9622532484584
4995,9427S,-37.83013830438813,144.96633745445027
5523,11979W,-37.81432259979354,144.9827679803555
6748,6627S,-37.8085392892571,144.95947791717688
5013,9445S,-37.8302333537833,144.96601013077878
3026,5121W,-37.80341088444709,144.95713839031447
6749,6629S,-37.80855847755369,144.95941119429182
1053,977W,-37.81860096436384,144.96222892276018
4277,C6890,-37.809310495093584,144.9558629671165
1054,979W,-37.81854591924767,144.962203666598
5819,12566N,-37.81585716353906,144.98135152160313
5508,11949W,-37.81509804827256,144.9826358111394
6036,13083S,-37.82113479065242,144.94301661517727
3820,C5494,-37.80723525042285,144.9543402966289
3843,C5566,-37.80641793309145,144.9539693463589
4329,C6996,-37.809234010653554,144.956283910284
5877,12902N,-37.798313847511565,144.96478913518115
5805,12538N,-37.81575388301522,144.9804096233853
5023,9457S,-37.83029655063751,144.96579219736887
3561,7087S,-37.80896248136547,144.95361135956864
5249,11523S,-37.81184392505163,144.95207745463983
5226,11506N,-37.81159624832596,144.9525367688051
3368,6179W,-37.80406031812777,144.94317667886412
5830,12547S,-37.81597116437966,144.9806842999829
3840,C5558,-37.80648880773117,144.9540015443544
4001,C6038,-37.80616973660744,144.95208450500195
5809,12546N,-37.81578335137982,144.98067858304387
3818,C5486,-37.80728263826147,144.95436191587947
865,690E,-37.81408797622072,144.96881364966487
5232,11518N,-37.81181041473464,144.95177886825996
4327,C6992,-37.80925569590514,144.9562800890904
4300,C6936,-37.80935620860668,144.95605863228343
5823,12533S,-37.81591965830468,144.98021528232428
4383,C7200,-37.80760730941965,144.952820993905
5878,12904N,-37.79832412543489,144.96488078826815
3359,6051W,-37.80615235713561,144.95196907814835
5539,12011W,-37.81339430386741,144.98292717261975
6192,13274N,-37.820201470670746,144.94223168804564
5011,9443S,-37.830222665972336,144.96604735511164
3942,C5800,-37.803932783966495,144.95549470757186
5881,12910N,-37.79837484550813,144.96534595918206
5803,12534N,-37.81573906594603,144.98027397146186
3255,5808E,-37.80703702449419,144.95347330563334
8133,15166N,-37.81661337143654,144.9809619187024
8128,15156N,-37.816650137434166,144.98130396822356
3392,6227W,-37.80604895328538,144.9508671460027
5510,11953W,-37.81499544968763,144.98265330166902
3694,7656N,-37.80497846789832,144.956914516136
4186,C6642,-37.80852425616692,144.95918789262674
5353,8887W,-37.824908323670655,144.96116233018282
3494,6584N,-37.80825984138091,144.9597589397056
2314,2855S,-37.81075192758727,144.96782788227944
5498,11929W,-37.8156116514398,144.9825483658929
4288,C6912,-37.80918214379872,144.95582412203683
5554,12041W,-37.812567426593496,144.98306706076198
4363,C7160,-37.80714961979042,144.95375923733644
4044,C6126,-37.80449363067284,144.9523802440605
3813,C5466,-37.8074008905007,144.95441548939652
3348,6032E,-37.80648440390729,144.95214642968898
3686,7646N,-37.80500159217506,144.95712214565845
3606,7554N,-37.80598354787373,144.95884461925414
5520,11973W,-37.81447883560203,144.98274136235003
3637,7590N,-37.80556771137624,144.9540120387018
3633,7584N,-37.80559174454697,144.95422564230262
