Census year,Block ID,CLUE small area,Dwelling number,Total employment in block,Parking spaces
2002,11,Melbourne (CBD),97,733.0,303
2002,12,Melbourne (CBD),189,3113.0,749
2002,13,Melbourne (CBD),113,1673.0,622
2002,14,Melbourne (CBD),87,2519.0,1229
2002,15,Melbourne (CBD),282,2553.0,88
2002,16,Melbourne (CBD),69,1006.0,1145
2002,17,Melbourne (CBD),110,724.0,992
2002,18,Melbourne (CBD),181,1633.0,1097
2002,23,Melbourne (CBD),55,3252.0,606
2002,24,Melbourne (CBD),130,6891.0,838
2002,25,Melbourne (CBD),198,3431.0,220
2002,26,Melbourne (CBD),104,2777.0,877
2002,27,Melbourne (CBD),1,6269.0,1028
2002,28,Melbourne (CBD),33,6334.0,791
2002,31,Melbourne (CBD),227,2993.0,658
2002,32,Melbourne (CBD),74,7175.0,758
2002,33,Melbourne (CBD),233,3076.0,187
2002,34,Melbourne (CBD),31,6281.0,282
2002,36,Melbourne (CBD),1,785.0,368
2002,38,Melbourne (CBD),52,2452.0,144
2002,41,Melbourne (CBD),44,1780.0,208
2002,42,Melbourne (CBD),4,4593.0,588
2002,44,Melbourne (CBD),41,3874.0,297
2002,46,Melbourne (CBD),56,1816.0,372
2002,47,Melbourne (CBD),121,484.0,84
2002,48,Melbourne (CBD),11,1186.0,1014
2002,51,Melbourne (CBD),392,2522.0,286
2002,52,Melbourne (CBD),1,3583.0,1224
2002,53,Melbourne (CBD),49,4360.0,576
2002,54,Melbourne (CBD),36,1351.0,624
2002,56,Melbourne (CBD),1,2302.0,150
2002,57,Melbourne (CBD),130,1139.0,1169
2002,58,Melbourne (CBD),47,1371.0,236
2002,62,Melbourne (CBD),40,2313.0,641
2002,63,Melbourne (CBD),79,655.0,49
2002,64,Melbourne (CBD),125,1958.0,495
2002,66,Melbourne (CBD),10,707.0,456
2002,67,Melbourne (CBD),219,744.0,668
2002,68,Melbourne (CBD),87,2610.0,960
2002,72,Melbourne (CBD),160,2206.0,836
2002,74,Melbourne (CBD),255,1619.0,895
2002,77,Melbourne (CBD),222,1605.0,1158
2002,81,Melbourne (CBD),145,465.0,348
2002,82,Melbourne (CBD),35,3761.0,418
2002,83,Melbourne (CBD),87,360.0,898
2002,84,Melbourne (CBD),166,787.0,216
2002,85,Melbourne (CBD),312,5314.0,1206
2002,87,Melbourne (CBD),223,2889.0,259
