name,id
On-street Car Parking Sensor Data - 2017,u9sa-j86i
On-street Car Parking Sensor Data - 2016,dj7e-rdx9
On-street Car Parking Sensor Data - 2019,7pgd-bdf2
On-street Car Parking Sensor Data - 2020 (Jan - May),4n3a-s6rn
On-street Car Parking Sensor Data - 2014,t6hb-9uf2
On-street Car Parking Sensor Data - 2015,apua-t2tb
On-street Car Parking Sensor Data - 2011,vkxi-k7ps
On-street Car Parking Sensor Data - 2018,5532-ig9r
On-street Car Parking Sensor Data - 2012,vbe9-m4tk
On-street Car Parking Sensor Data - 2013,7jq6-k9kf
